file,long_lines_in_code_blocks
docs\tutorials\qunova-hivqe.ipynb,42
docs\guides\qiskit-code-assistant.mdx,29
docs\guides\function-template-chemistry-workflow.ipynb,8
learning\courses\fundamentals-of-quantum-algorithms\quantum-algorithmic-foundations\factoring-and-gcd.ipynb,6
docs\guides\slurm-plugin.mdx,5
docs\tutorials\long-range-entanglement.ipynb,5
docs\tutorials\operator-back-propagation.ipynb,5
Untitled.ipynb,4
docs\guides\sampler-rest-api.mdx,4
docs\tutorials\approximate-quantum-compilation-for-time-evolution.ipynb,4
docs\tutorials\dc-hex-ising.ipynb,4
docs\tutorials\projected-quantum-kernels.ipynb,4
docs\guides\plans-overview.mdx,3
docs\guides\qiskit-1.0-installation.mdx,3
docs\guides\qunova-chemistry.ipynb,3
docs\tutorials\compilation-methods-for-hamiltonian-simulation-circuits.ipynb,3
docs\tutorials\global-data-quantum-optimizer.ipynb,3
docs\tutorials\pauli-correlation-encoding-for-qaoa.ipynb,3
docs\tutorials\qedma-2d-ising-with-qesem.ipynb,3
learning\courses\utility-scale-quantum-computing\error-mitigation.ipynb,3
learning\courses\utility-scale-quantum-computing\quantum-simulation.ipynb,3
learning\courses\utility-scale-quantum-computing\utility-i.ipynb,3
learning\courses\utility-scale-quantum-computing\utility-ii.ipynb,3
learning\courses\utility-scale-quantum-computing\utility-iii.ipynb,3
learning\courses\variational-algorithm-design\examples-and-applications.ipynb,3
docs\guides\debug-qiskit-runtime-jobs.ipynb,2
docs\guides\estimator-input-output.ipynb,2
docs\guides\function-template-hamiltonian-simulation.ipynb,2
docs\guides\initialize-account.mdx,2
docs\guides\primitive-input-output.ipynb,2
docs\guides\qiskit-code-assistant-openai-api.mdx,2
docs\guides\save-credentials.mdx,2
docs\guides\serverless-manage-resources.ipynb,2
docs\guides\v2-primitives.mdx,2
docs\guides\virtual-private-endpoints.mdx,2
docs\tutorials\repetition-codes.ipynb,2
docs\tutorials\sample-based-quantum-diagonalization.ipynb,2
docs\tutorials\simulate-kicked-ising-tem.ipynb,2
docs\tutorials\sml-classification.ipynb,2
docs\tutorials\solve-market-split-problem-with-iskay-quantum-optimizer.ipynb,2
docs\guides\access-groups.mdx,1
docs\guides\cloud-setup-rest-api.mdx,1
docs\guides\estimator-noise-management.ipynb,1
docs\guides\get-started-with-sampler.ipynb,1
docs\guides\hello-world.ipynb,1
docs\guides\kipu-optimization.ipynb,1
docs\guides\qedma-qesem.ipynb,1
docs\guides\qiskit-addons-sqd-get-started.ipynb,1
docs\guides\sampler-examples.ipynb,1
docs\guides\sampler-noise-management.ipynb,1
docs\tutorials\advanced-techniques-for-qaoa.ipynb,1
docs\tutorials\ai-transpiler-introduction.ipynb,1
docs\tutorials\colibritd-pde.ipynb,1
docs\tutorials\edc-cut-bell-pair-benchmarking.ipynb,1
docs\tutorials\ghz-spacetime-codes.ipynb,1
docs\tutorials\krylov-quantum-diagonalization.ipynb,1
docs\tutorials\quantum-kernel-training.ipynb,1
docs\tutorials\solve-higher-order-binary-optimization-problems-with-q-ctrls-optimization-solver.ipynb,1
docs\tutorials\transverse-field-ising-model.ipynb,1
learning\courses\quantum-diagonalization-algorithms\krylov.ipynb,1
learning\courses\quantum-machine-learning\introduction.ipynb,1
learning\courses\quantum-machine-learning\quantum-kernel-methods.ipynb,1
learning\courses\quantum-machine-learning\qvc-qnn.ipynb,1
learning\courses\quantum-safe-cryptography\asymmetric-key-cryptography.ipynb,1
learning\modules\computer-science\deutsch-jozsa.ipynb,1
